brandenburg,buckingham,colosseum,brussels,notre_dame,westminster,pantheon,taj_mahal,temple,fountain
2.3498531749921536,2.204848618660709,3.4899715251477748,4.172343731651603,1.981649339012751,3.922620094257428,1.8198375604271189,1.530110946849799,27.293925366473054,2.129139386619688
2.325484593110795,2.191498829330768,3.443402617248637,4.149338915401075,1.9316360265616832,3.9045400735127953,1.785576689909787,1.5111686990754496,27.221568940262575,2.111833507513427
2.3026991478384464,2.124100041175035,3.421691618508658,4.128751017625915,1.907605160295181,3.881783861744722,1.7661039042316342,1.5002100817852124,27.08426487193478,2.0724668506244512
2.28059158304039,2.109176057427371,3.3714846627828834,4.033863600418358,1.8634558890388502,3.8606112632739156,1.7360798426118185,1.4933474217570275,26.9743122973957,2.0464183626008405
2.275591185958878,2.077942398626172,3.3456805065584185,3.974593060845206,1.840233369695389,3.828696415710723,1.7187473890510352,1.4788405218654161,26.77325859695385,2.0009229841253116
2.251821610595034,2.034310568015483,3.3125759010283153,3.9380610237531117,1.8195048278298473,3.8010139525775912,1.7106431763897059,1.468690659051011,26.66395735090833,1.9847408683065786
2.2136633814595723,1.9879821459781917,3.2624654879735866,3.851052910987653,1.7911027007309757,3.7421324502520394,1.6805258610062923,1.4574911629873712,26.525894389088254,1.9591430229186826
2.190684970116216,1.942622033643488,3.13591720936546,3.8032253207279085,1.765363854445557,3.699514601953899,1.6648450685131155,1.4490520387095365,26.400675532525035,1.9373294816760764
2.1527015782061243,1.8825459009422723,3.0988206069985647,3.7583512675701116,1.7411644288657742,3.611390713202263,1.6345762558473382,1.4437912954606573,26.269539107463945,1.9108032697564876
2.138669051723053,1.852904176880976,3.061312006507606,3.7251068054896352,1.7053866309584576,3.441680659322152,1.6002519202077297,1.4263460143774425,26.13568254652256,1.8913644879389406
2.1195442127778032,1.796697162056292,3.0078891667054246,3.672586365434912,1.6810855010864358,3.3340163950392765,1.5728920258216248,1.4177958987376251,26.01012658419388,1.8716161708040193
2.1086550926428926,1.7679596044424992,2.9689530571951015,3.6231219628008535,1.6446186511610255,3.273789563488757,1.5619017036935112,1.407338267410522,25.978493340787946,1.8073975307602486
2.0748865183432192,1.7418035778347898,2.9312685739014688,3.560322320759291,1.6003224986633482,3.2637738455586156,1.5324520815544929,1.3876437249754805,25.8328850708503,1.7551068925933677
2.0406788432193523,1.7185515797305864,2.890672331428111,3.5375020424019703,1.5732100953181465,3.223396293973983,1.5133278049252852,1.380847220593596,25.65306851208659,1.7261284708554476
2.0139062521190025,1.6827901554967875,2.856599826408638,3.484626512283828,1.5081388774053999,3.1271349662474757,1.4901831273062751,1.3603930802392448,25.579106128999854,1.666767048748928
1.9894068203089985,1.596534457296709,2.8119859935153766,3.4515363097730356,1.487701472386845,3.1070079941155098,1.4285340221721887,1.3340810272156904,25.474236441161278,1.6360921001308693
1.9756893735664218,1.5553697601763736,2.7441606867964787,3.429170280455805,1.459022484423253,2.9290589569842016,1.4108994073570171,1.3265129917671354,25.389180865154252,1.6148682357027468
1.945946152470522,1.5338479101644404,2.6571106565792837,3.3441771617881795,1.4379037047918992,2.893831173414044,1.3756059991128282,1.3088832088941582,25.179528920930167,1.5441771081658644
1.923850123976835,1.4562695418594769,2.5561839583421255,3.3298677790881848,1.3964247273506234,2.836298433351159,1.354666910976119,1.281548888215287,25.011145153826075,1.4861109700342134
1.879842043818285,1.4078387238390637,2.5304901243688556,3.2362372859381607,1.377865100348945,2.785940539228552,1.330354559274478,1.2635795513169845,24.845731169944855,1.4507099326867032
1.8728381637277132,1.3810168624696166,2.480168732639903,3.184347932415546,1.3189295338912523,2.7201032754484173,1.3067339823227746,1.2530040572068528,24.674040432769793,1.409828857707779
1.8293117176784792,1.3066981217186922,2.456612870784289,3.139694474385628,1.2961522835734782,2.5678248340769745,1.267778132102073,1.2414479342988394,24.424045540704675,1.3944643617284445
1.801295949399519,1.2857528175366384,2.4181934585679445,3.0840065490741506,1.263055048202604,2.5227894740241616,1.2558926612408656,1.2148647625656108,24.330929078604385,1.2559298598882438
1.7704077049599212,1.2410241803668383,2.34569939898346,3.02909317142351,1.2365031086417038,2.4631738856189056,1.211315357120903,1.20071711775982,24.17602974276703,1.2111311548460033
1.7517746150131055,1.1886791356079895,2.2904125903073047,2.8626806872495036,1.2120694790340214,2.4140838017191504,1.1891741970112444,1.1838696003194051,23.938651474815103,1.1292954562688917
1.7348230531054165,1.1551869610988044,2.215769090889202,2.7872258207499643,1.172035211871774,2.3431017833202556,1.165054850788038,1.174401478778337,23.843074880133077,1.1081051368661297
1.7231975948504474,1.116111427203155,2.084736038536294,2.7562461933669717,1.1489074375702066,2.2526310300927044,1.1066577931666262,1.1683213360595928,23.65883520040445,1.072137435759084
1.6706704099517817,1.0699547515733498,2.0472309328536857,2.7218302044247475,1.11939958329042,2.129774274200341,1.0981184955712586,1.1493324473183935,23.57306800957318,1.030840079198399
1.6382207775238917,1.0224640640511702,2.0033018601154584,2.5074113619004668,1.091814546257824,2.0928513755112657,1.0726775878981254,1.1285736698621969,22.043271074888214,0.9788743158361388
1.6287266419886974,0.9985215032304583,1.9471002052499367,2.4112138661641636,1.0374872858209425,2.068453702129265,1.0462513201894719,1.095785779438663,20.58158077425028,0.9336923772547454
1.6008663121058087,0.9653857312015197,1.869351617915381,2.312180883662693,1.010805254548824,2.031423802356479,1.0082302633230147,1.0920988994205565,20.362890923948225,0.8953999698723883
