brandenburg,buckingham,colosseum,brussels,notre_dame,westminster,pantheon,taj_mahal,temple,fountain
1.7434815996487256,2.4638522728405947,3.112088820718177,4.256845707385322,1.7808767991499095,3.0746990374753955,1.650389582472953,1.165083018189885,11.410101149499761,1.6794098951749494
1.7109808919835887,2.363694633766374,3.070161167807062,4.220707450412241,1.716578059564099,3.0746990374753955,1.6297366585601891,1.156992451076251,11.240911239491076,1.636864309680942
1.7109808919835887,2.2880294711388145,3.0031918224440255,4.1927709057824565,1.6732736256765763,3.0746990374753955,1.5920000107217216,1.1323303227731145,10.909768848314927,1.6252927568390667
1.5334335143063074,2.2664788876064392,2.4712093711417134,4.091635830164349,1.6296251172260172,2.927913586765273,1.5065147500270997,1.1187936507650131,10.817555518777619,1.5948818196894206
1.5071706527939928,2.22083421443928,2.3924735655917866,4.044160100322549,1.5675868529420045,2.927913586765273,1.476829741676225,1.0996438127596124,10.386461772538611,1.5568488879069289
1.4781183497545818,2.2008172651686433,2.35332580224674,3.936852324909284,1.5424292904947368,2.6142364672162786,1.461702430250382,1.098004756619865,10.302647647840711,1.534555675122577
1.3652850697856633,2.186185517582634,2.336514081540408,3.7685061541937324,1.517578538763356,2.6142364672162786,1.431382600482282,1.0717580290559676,10.125393938891023,1.5170380431713046
1.3383494569230059,2.1396883130344984,2.299591802483497,3.739120587947559,1.4929112945032885,2.507792032158566,1.322995951244424,1.0550225283901196,10.000198563119264,1.4528042427453407
1.3383494569230059,2.1171624451122524,2.2634011966269827,3.739120587947559,1.4737774990787027,2.434408531896494,1.2819781714644372,0.9444545574802407,9.879884372068986,1.4358994068063338
1.2890762270400056,2.0942666068249585,2.2284940179701973,3.739120587947559,1.4028292160596958,2.4198974366982218,1.1945862206053413,0.930863009423789,9.492927777848076,1.396717531215052
1.2098818891593512,2.0175263154676037,2.1995626754356343,3.517941697752791,1.3878957401271614,2.3909923027016617,1.1945862206053413,0.9183093297736942,9.255991597476465,1.369321872673129
1.1830950259473998,2.0041438173159376,2.1427814928862188,3.4569975145765697,1.3508418082830016,2.340176171902322,1.0904013927752674,0.9183093297736942,9.137881458466119,1.3502763673186717
1.1696105405601682,1.992248539414058,2.036108809821739,3.3780071876307973,1.3150068647014184,2.1399098198493056,1.0162870799588024,0.9017223001219605,8.888432699997905,1.3158024629916392
1.1029639701484362,1.963329674114095,2.0131952057072615,3.3030789050747837,1.2908420744310836,2.0644933215865886,0.9901613233945187,0.8700460943736414,8.718894155375347,1.307175177017775
1.089678364170742,1.9109465850823473,1.947811420185525,3.2453379485335505,1.2687976890214807,2.027301694540693,0.9602937817763698,0.8603616273119429,8.603305080177048,1.2845572864973023
1.059612044665361,1.8810426456761975,1.9293855532765773,3.1625246633153354,1.2538985360040464,1.9556216065083205,0.9317273991941417,0.7757544307348373,8.502832769223303,1.2551130466836242
1.0027344670242886,1.84880267997496,1.7516219270050277,3.095697039042404,1.1908261993428368,1.923130667555532,0.9044441263460712,0.767101383265885,8.502832769223303,1.2305414404611192
0.9822667797713938,1.8058027461575188,1.7322771899739078,3.089225259014035,1.1388455657765968,1.9091025061977087,0.8715553211510311,0.6861471561275668,7.761465274873604,1.1700872405247085
0.9257444933084171,1.7687812810276078,1.6643952293249695,2.999053062568222,1.1222259005880018,1.735629985215022,0.8453561860067194,0.6765279188657477,7.698658162268263,1.1505411134791228
0.9221850082985024,1.7104259113973135,1.6381174623379462,2.872995575465861,1.0985237394508098,1.735629985215022,0.7969418935342998,0.6588570813647927,7.616634862550692,1.1196007930277134
0.8777535644988245,1.6674000463007157,1.589588465418685,2.8337182386765973,1.035153314321805,1.735629985215022,0.7860489403077899,0.6465848235789738,7.249996971167157,1.1029877799800278
0.8777535644988245,1.6323068504257834,1.570264811497305,2.8337182386765973,0.9952603289654074,1.6062572831229818,0.7767908902139842,0.6397956568361393,7.114808615549363,1.0864223958632766
0.8362909917310317,1.599421303637875,1.490454978662356,2.627552153976056,0.9689668177113534,1.6062572831229818,0.7595699595760861,0.6397956568361393,6.820494329103176,1.0346233813528392
0.7867067864836854,1.5843427340275058,1.4412453576775623,2.5522527053600697,0.9506007051163836,1.5512607657691226,0.7458209282720316,0.5641469969073809,6.46496844221179,0.9849280340102169
0.7716305421220111,1.5309741198492743,1.4108383154996333,2.5134585393688376,0.9009256229721742,1.5512607657691226,0.7254247828102446,0.5541889343927013,6.323884650469643,0.955987872882573
0.7716305421220111,1.4568374770462544,1.3679498047426615,2.4783312931554917,0.8882975337661261,1.4927268404671776,0.7054075368087387,0.5452273109137208,6.259604864580184,0.9009661950224824
0.7381464883063594,1.3983773652415212,1.308915978956127,2.397526166447969,0.8685017830949547,1.4927268404671776,0.6691197898430352,0.5359735629454265,5.670363289875485,0.8887505793539893
0.7243614730454414,1.3651250995925708,1.2814313798909196,2.3271802844956495,0.7864285268265239,1.3798070341812263,0.6646009768443313,0.5359735629454265,5.611056356778158,0.8642815204876662
0.7004870359899813,1.2950494432998974,1.1324649568018414,2.2895878670676284,0.7567366958725023,1.3798070341812263,0.6646009768443313,0.45371946224954807,5.350946813258097,0.7928095097696047
0.6339817053021346,1.2779715971220722,1.0665503427892764,2.2707799410930147,0.6888750020438207,1.3798070341812263,0.6234473892417212,0.4394191905623125,5.199388888234945,0.7691792096865477
0.6114675613183046,1.2433405127501438,1.028022147847061,2.03179200186322,0.676443497645981,1.154668974004923,0.6133201765041681,0.42862304665667755,4.917318673917242,0.7494578550454712
