KingsCollege,OldHospital,ShopFacade,StMarysChurch
2.258204180803627,4.654381168545822,7.004576268302358,7.266103166941385
2.2754826887387214,4.693522419839824,6.949983231658689,7.267923931619805
2.3012563965406354,4.683169700392417,7.094895435991442,7.31788776294404
2.3222814785231924,4.709046684647022,7.195242149309852,7.383616046744081
2.3386397969495256,4.790169796227075,7.30816945023501,7.4272158294173485
2.3616331451580557,4.822042774396835,7.224937906055172,7.456218658916867
2.3505775593341407,4.852692686055659,7.145537520098493,7.496558047937245
2.3633384579053396,4.917952281943838,7.233753516561177,7.546983824330968
2.3870286068994324,4.918784559997108,7.341895597905038,7.639184951629709
2.412668595438687,4.960809375284414,7.396727538590252,7.691662356254463
2.412132627338472,4.977097683681157,7.496478793786157,7.760488017222941
2.4323334526520517,4.972249355592196,7.5602343216459,7.848450608326758
2.455976486058713,4.982126887945394,7.715512037069736,7.79244403291357
2.456160333960885,5.074814693527008,7.670475155350189,7.818795168068403
2.4591260936362844,5.16200910613763,7.813723748475602,7.795873823169522
2.4841901634588917,5.1519086689576055,7.937169710877746,7.7964364366635905
2.5087064242641217,5.180021496385287,8.055831790489377,7.787451337545524
2.5420944498521476,5.160850119348566,8.247893942430483,7.777998647824144
2.568595087656694,5.255581146684656,8.338853482487252,7.863079480492945
2.5952245629023003,5.181452486927803,8.121485633789765,7.937345115039805
2.629228194210992,5.186015805465644,8.089364398303255,8.044773486794593
2.633204479326517,5.255015314524642,8.120045234714672,8.119995328262691
2.645906050814693,5.350118862054091,8.236852374177518,8.113462653420738
2.689566184189074,4.90521199471342,8.27825140841501,8.178238877565803
2.6903023970618163,5.053912267410675,8.390214959472482,8.232668153019437
2.721994365591316,5.088612878618424,8.603711406910094,8.364832250346156
2.7463565127115057,5.145830526675625,8.710280934933598,8.37888574807953
2.821745587721287,5.112984306163903,8.962013117462071,8.466331262909582
2.8573803665757795,5.0195724228246466,9.177989161831642,8.616210987142763
2.9266816821616954,5.1445656848257855,8.82420905868279,8.718709005480044
2.9837086463635796,4.780369742235286,8.61804534110683,8.869757963111734
3.044582455845629,4.2642721219171165,8.828882731261933,8.900462902029346
3.1072419117132246,4.209283892229914,8.91598293149719,9.082859500307208
3.2314331522598945,4.197724181872697,9.254248305134055,9.339632684951933
3.2855168454412023,4.24164169120911,9.580666436870668,9.576415471818233
3.3596613226147585,4.420461667565635,9.8574512144781,9.580303442210754
3.420689065825776,4.560085332713466,10.237030371469992,9.865456097988865
3.5721406507555207,4.562797881285872,10.722476073386527,8.809736800259763
3.7568345873885876,4.221332280647346,10.447222165367721,9.069529232296079
3.948186677013644,4.2105019316524315,10.862910383905128,9.143395823560146
4.161662516278665,4.1090039450671,10.862910383905128,9.514593588000057
4.413856107101223,3.9058873554217,11.820983719726952,9.826329176998833
4.710060627280601,4.122286468517984,12.062897180416352,10.391352789736908
5.2422713311023905,4.122286468517984,11.940085598857415,10.82750471106916
5.689871930065968,4.607458727628822,12.890032304830616,11.535026445416491
6.49754879704376,4.567792444876041,14.94012229847398,11.512968416061215
7.5300377253092154,5.55555310722119,17.069362071046704,12.954221080835529
10.108961638191948,5.629066807486869,17.704998996759013,16.781896340637115
13.148078122262806,5.500402207473089,28.70788228586762,23.258096608677644
70.99695100428858,5.125676516349948,2.310502928351044,113.10587874046072
