KingsCollege,OldHospital,ShopFacade,StMarysChurch
2.05401901385102,3.985865352109595,1.433018237823116,3.0061664749478414
2.0771132122382037,3.987566556364659,1.433018237823116,3.026098073600327
2.098180225231694,4.018621777624299,1.435151566264017,3.000788106260014
2.1284119986680565,3.954590270747335,1.4454828354128624,2.778860353811422
2.153905160434061,4.047862411145624,1.4729704632656757,2.796167047444851
2.1729811901694536,4.072667486894278,1.4400918055440275,2.8242508571074674
2.1994098265981004,4.07692798263162,1.4400918055440275,2.848115392295907
2.204861253324245,4.158828803935242,1.460531003962442,2.858005378909368
2.2188620322932917,4.171386177159424,1.4681498802464803,2.8446135998782793
2.197083921512285,4.138914028049185,1.4798433738388963,2.8685596381445277
2.211760288293121,4.224525655304937,1.5033865066221634,2.8698501599079522
2.2445888718269784,4.291879157779741,1.5156357293266756,2.890754756578035
2.1897080768358697,4.316128775050758,1.5202886275960956,2.909160514488525
2.201724633623684,4.388395408743488,1.5476443517014924,2.9273554969727935
2.220959537741974,4.380593847393422,1.5542273652670717,2.9103475938913186
2.152072878001145,4.441828100212934,1.571274667961011,2.914323568376002
2.1124791578924578,4.587297908091283,1.584806627581436,2.9391226204092953
2.1476759470259497,4.607034396859861,1.6008593876397923,2.956093293805229
2.172825296985151,4.490230980350335,1.6345559628417854,2.9362449310164678
2.1906156554848137,4.490230980350335,1.6607381295542603,2.9553108505437
2.2265756393980807,4.591787283665411,1.6822328699653901,2.984821459225324
2.2530836745198135,4.636906856095645,1.7240920244892814,3.0334587874952925
2.180894219237982,4.713506211980617,1.7410887536642579,3.068754164113794
2.226278875275738,4.8653448436745075,1.7410887536642579,2.87244752653815
2.1259951450243433,4.855647208210074,1.7410887536642579,2.9199729928624887
2.1653151273211053,4.359992934323009,1.840334645923669,2.936134794107551
2.193018112656245,4.4171418933385755,1.9191865657196001,2.9657982418919233
2.2118868292421716,4.400352497776988,1.8359785884528792,2.9672940379476596
2.2491873260266146,4.400352497776988,1.7440174246488451,2.9672380183716736
2.271705199818462,4.400352497776988,1.7440174246488451,2.9734490843517922
2.33018344365045,4.400352497776988,1.7440174246488451,3.015560388001599
2.287302145957111,4.577520552965924,1.5140058343916971,3.1035669235499603
2.3734680499748704,4.682361522726407,1.4188936175056819,3.140614178478002
2.2552215659203116,4.391486159574359,1.3920588723208422,3.160145106760576
2.2809195418115347,4.262733346327066,1.3916701952336186,3.1808217845414086
2.336989565055174,4.279122019953963,1.3752811381678587,3.2802787684579755
2.4222084803691817,4.361295302202394,1.2573963049868422,3.354392832438708
2.1433132954971676,4.388217278549562,1.2927373787637673,3.439368817153168
2.2695333872626353,4.364348663560497,1.3249292664444612,3.5068914333959413
2.4197009736943773,4.1823702823056905,1.3249292664444612,3.0302893621839435
2.292362555520086,4.150474004233742,1.2031676193895358,3.0570485239628122
2.3760414135655306,4.133878595114995,1.1487221356592923,3.2891905587496137
2.428071625024864,3.585058256487534,1.2229636204092538,3.054686411809057
2.5976517295084696,3.862984607206172,1.2533675661728443,2.94830452186151
2.7522479013935497,3.6885211304243,1.3147904617194779,2.895592504925253
2.9403644766117236,3.1702852585305212,1.2826880753151946,2.943880686640234
3.1679152408602027,2.9267668837592176,1.2486433984946377,2.270664462055139
4.182384097347973,2.3343320973385944,1.333356951666094,2.548900809360484
6.279788427761642,2.0221737381718943,1.3996527231463998,3.462390681937084
37.8180863378518,1.9954796717458883,0.9752920945543232,23.996028826099597
